"Site Id","Site Code","Campaign Code","PLM Discount id","PLM Start Date","PLM End Date","ICOMS Start Date","ICOMS End Date","Offer series","Comments"
"131","OKC","PERIGRN10","10055","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"131","OKC","PERIGRN125","10058","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"131","OKC","PERIGRN15","10056","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"131","OKC","PERIGRN20","10057","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"131","OKC","PERIGRN25","40342","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"131","OKC","PERIGRN32","40343","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"131","OKC","PERIGRN5","10054","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"131","OKC","PERIGRN750","10059","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"131","OKC","PERIGRNBX","42027","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Start Date by Market","End date mismatch","false"
"131","OKC","PERIGRNIN","42030","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Start Date by Market","End date mismatch","false"
"182","BTR","PERIGRN10","10055","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"182","BTR","PERIGRN125","10058","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"182","BTR","PERIGRN15","10056","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"182","BTR","PERIGRN20","10057","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"182","BTR","PERIGRN25","40342","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"182","BTR","PERIGRN32","40343","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"182","BTR","PERIGRN5","10054","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"182","BTR","PERIGRN750","10059","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Perigrn","End date mismatch","false"
"182","BTR","PERIGRNBX","41766","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","STart Date by Market","End date mismatch","false"
"182","BTR","PERIGRNIN","42019","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Start Date by Market","End date mismatch","false"
"186","TUL","PERIGRN10","10055","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"186","TUL","PERIGRN125","10058","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"186","TUL","PERIGRN15","10056","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"186","TUL","PERIGRN20","10057","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"186","TUL","PERIGRN25","40342","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"186","TUL","PERIGRN32","40343","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"186","TUL","PERIGRN5","10054","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"186","TUL","PERIGRN750","10059","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"186","TUL","PERIGRNBX","42028","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","STart Date by Market","End date mismatch","false"
"186","TUL","PERIGRNIN","42031","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Start Date by Market","End date mismatch","false"
"238","RHI","PERIGRN10","10055","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"238","RHI","PERIGRN125","10058","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
