"DISCOUNT_ID","DISCOUNT_CODE","DESCRIPTION","TAG","DISCOUNT_START_DATE","DISCOUNT_END_DATE","needsOffers?","CNT"
"42380","P0006","LAW ENFORCEMENT","","30-Apr-04","31-Dec-39","NO","0","false"
"42384","SRCTZNPH","Sr. Citizens Discount","","21-Nov-11","31-Dec-39","NO","0","false"
"42381","SENTARAD","Sentara Emp Discount-Data Essential or higher 18% off","","01-Jan-12","31-Dec-20","NO","0","false"
"42382","SENTARAT","Sentara Emp Discount-Telephone Essential or Premier 18% off","","01-Jan-12","31-Dec-20","NO","0","false"
"42383","SENTARAV","Sentara Emp Discount - Video ADTV or higher 18% off","","01-Jan-12","31-Dec-20","NO","0","false"
"42377","LSUHSCDIS3","LSUHSC EMPLOYEE/STUDENT DISC - CHSI PREF $44.99/MO FOR 24 MO","","01-Aug-12","30-Jun-22","NO","0","false"
"8392","RASCX0506","Seasonal Return $5 off any level of Video","","14-Jan-14","30-Jun-20","YES","0","true"
"8394","RASTX0506","Seasonal Return $5 off any level of CDT for 6 Mths","","14-Jan-14","30-Jun-20","YES","0","true"
"7992","EMPTECHPRO","Free Pro Install for Techs installing service at their own h","","28-Jan-14","31-Dec-20","NO","0","false"
"8389","RASBB1506","Seasonal Return Bronze min $15 off for 6 Mths","","04-Feb-14","30-Jun-20","YES","0","true"
"8390","RASBB2506","Seasonal Return Bronze min $25 off for 6 mos - fall back","","04-Feb-14","30-Jun-20","YES","0","true"
"8391","RASBB3506","Seasonal Return Bronze min $35 off for 6 Mths - fall back 2","","01-Mar-14","30-Jun-20","YES","0","true"
"8393","RASDX0506","Seasonal Return $5 off Starter to Ultimate Data for 6 Mths","","01-Mar-14","30-Jun-20","YES","0","true"
"42304","BULKINSTAL","Free Pro Connect for Bulk Installations","","09-Jun-14","31-Dec-20","NO","0","false"
"8533","ROTVX1012","$10 Off DVR service","","01-Aug-14","30-Jun-20","NO","0","false"
"42034","C2COMPETE1","$9.99 Essential Data with Free Modem Rental","","16-Oct-14","17-Apr-20","NO","0","false"
"42376","LSUDISC3","LSU & LSUHSC 28% off CHSI Preferred or higher for 24 mos","","08-Jan-15","31-Dec-22","NO","0","false"
"42302","AC15CAMSLF","Camden Properties Free Self Install","","21-Jan-15","31-Dec-20","NO","0","false"
"8689","BU152XSI","Free Self Install","","20-Jul-15","30-Mar-20","NO","0","false"
"42371","SC153CI0X1","Free Pro or Self Install for Sam's Club","","29-Sep-15","31-Dec-20","NO","0","false"
"42303","AC160HBI","Builder OTC","","08-Jan-16","29-Jun-20","NO","0","false"
"8395","RASXX10061","$10 Off 2P/3P Seasonal Return for 6 Mths","","17-May-16","30-Jun-20","YES","0","true"
"8396","RASXX20061","$20 Off 2P/3P Seasonal Return for 6 Mths","","17-May-16","30-Jun-20","YES","0","true"
"42305","CHL162EQ15","Field Tech 15% off Automation Devices on initial install","","07-Jul-16","29-Jun-20","NO","0","false"
